"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display","Numeric","Low","High","Comments"
"CYCU","WHS7_105","PUBLISHED","2008","AMR","DMA","594.1","594.11",,,
"CYCU","WHS7_108","PUBLISHED","1996","AMR","TTO","189.8","189.79",,,
"CYCU","WHS7_105","PUBLISHED","1999","EUR","AUT","2761.7","2761.67",,,
"CYCU","WHS7_156","PUBLISHED","1996","EUR","GEO","46.0","45.98",,,
"CYCU","WHS7_104","PUBLISHED","2005","EUR","MLT","957.0","956.95",,,
"CYCU","WHS7_104","PUBLISHED","1998","EUR","SMR","1941.2","1941.24",,,
"CYCU","WHS7_108","PUBLISHED","2006","EMR","SDN","29.1","29.13",,,
"CYCU","WHS7_156","PUBLISHED","2004","AFR","MUS","226.8","226.77",,,
"CYCU","WHS7_156","PUBLISHED","2011","SEAR","TLS","46.3","46.25",,,
"CYCU","WHS7_108","PUBLISHED","2009","EUR","EST","1042.3","1042.3",,,
"CYCU","WHS7_156","PUBLISHED","2005","EUR","AUT","3863.1","3863.12",,,
"CYCU","WHS7_156","PUBLISHED","2003","EUR","KGZ","20.8","20.82",,,
"CYCU","WHS7_108","PUBLISHED","2007","EMR","SAU","582.6","582.58",,,
"CYCU","WHS7_156","PUBLISHED","2002","EMR","DJI","42.5","42.45",,,
"CYCU","WHS7_108","PUBLISHED","2007","AFR","LBR","11.8","11.82",,,
"CYCU","WHS7_104","PUBLISHED","2007","AMR","NIC","50.6","50.55",,,
"CYCU","WHS7_156","PUBLISHED","2010","EUR","HUN","1026.0","1026.03",,,
"CYCU","WHS7_156","PUBLISHED","1997","EUR","SVK","230.0","230.01",,,
"CYCU","WHS7_104","PUBLISHED","2006","WPR","TUV","446.6","446.64",,,
"CYCU","WHS7_156","PUBLISHED","2004","WPR","AUS","2872","2872",,,
"CYCU","WHS7_108","PUBLISHED","1996","AFR","MWI","6.9","6.9",,,
"CYCU","WHS7_108","PUBLISHED","2001","AFR","CMR","19.4","19.4",,,
"CYCU","WHS7_108","PUBLISHED","2005","AFR","COD","3.5","3.47",,,
"CYCU","WHS7_105","PUBLISHED","2002","AMR","BLZ","248.4","248.36",,,
"CYCU","WHS7_104","PUBLISHED","1999","AMR","CRI","220.5","220.51",,,
"CYCU","WHS7_105","PUBLISHED","2008","EUR","BEL","3685.0","3685.02",,,
"CYCU","WHS7_105","PUBLISHED","1996","EUR","HUN","656.8","656.77",,,
"CYCU","WHS7_108","PUBLISHED","2007","AFR","CPV","125.8","125.75",,,
"CYCU","WHS7_156","PUBLISHED","1998","AFR","NER","14.1","14.13",,,
"CYCU","WHS7_105","PUBLISHED","2000","EUR","LTU","559.6","559.58",,,
"CYCU","WHS7_108","PUBLISHED","1998","WPR","WSM","102.0","102",,,
"CYCU","WHS7_105","PUBLISHED","2003","WPR","PLW","1243.0","1243",,,
"CYCU","WHS7_104","PUBLISHED","1996","AFR","BFA","4.8","4.82",,,
"CYCU","WHS7_105","PUBLISHED","2011","AFR","TCD","40.6","40.6",,,
"CYCU","WHS7_108","PUBLISHED","1997","EUR","LVA","228.0","228",,,
