#,ISO_13,COUNTRY,THE,LE,LE_UI_lower,LE_UI_upper,HALE,HALE_UI_lower,HALE_UI_upper,LE_50,HALE_50,YLD_50
1,AUT,Austria,4398,80.612,80.472,80.741,69.134,66.926,71.155,32.382,25.354,7.03
2,BEL,Belgium,3975,79.531,79.31,79.784,68.542,66.397,70.485,31.522,24.803,6.72
3,BGR,Bulgaria,1057,73.526,73.392,73.653,64.103,62.144,65.771,26.661,21.209,5.45
4,HRV,Croatia,1475,76.732,76.569,76.886,65.995,63.891,67.805,28.862,22.645,6.22
5,CYP,Cyprus,2218,80.226,79.875,80.624,68.825,66.553,70.817,31.832,24.959,6.87
6,CZE,Czech Republic,1885,77.523,77.412,77.641,67.243,65.27,69.041,29.404,23.268,6.14
7,DNK,Denmark,4467,78.911,78.771,79.073,67.871,65.808,69.822,30.629,24.068,6.56
8,EST,Estonia,1294,75.89,75.608,76.177,65.684,63.773,67.427,28.921,22.919,6
9,FIN,Finland,3252,80.087,79.935,80.244,67.304,64.798,69.575,32.1,24.467,7.63
10,FRA,France,3997,80.927,80.732,81.114,69.484,67.31,71.45,32.996,26.01,6.99
11,DEU,Germany,4342,80.232,80.074,80.391,69.019,66.934,70.919,31.89,25.086,6.8
12,GRC,Greece,3069,79.582,79.37,79.804,68.668,66.458,70.606,31.459,24.874,6.59
13,HUN,Hungary,1601,74.472,74.359,74.587,64.247,62.262,66.045,27.25,21.317,5.93
14,IRL,Ireland,3720,79.926,79.73,80.111,68.868,66.622,70.845,31.768,25.085,6.68
15,ITA,Italy,3046,81.47,81.312,81.621,70.17,67.958,72.082,33.083,26.141,6.94
16,LVA,Latvia,1157,73.87,73.657,74.072,63.756,61.793,65.501,27.448,21.593,5.86
17,LTU,Lithuania,1286,74.148,73.963,74.324,64.29,62.291,66.008,28.042,22.145,5.9
18,LUX,Luxembourg,6712,80.169,79.768,80.535,68.433,65.894,70.48,31.791,24.776,7.02
19,MLT,Malta,2290,80.054,79.657,80.478,68.683,66.3,70.704,31.739,24.962,6.78
20,NLD,Netherlands,5112,80.587,80.491,80.677,69.076,67.028,70.928,32.091,25.281,6.81
21,POL,Poland,1377,76.348,76.286,76.412,66.056,63.958,67.834,29,22.933,6.07
22,PRT,Portugal,2729,79.363,79.249,79.486,68.588,66.339,70.499,31.487,25.014,6.47
23,ROU,Romania,881,73.81,73.726,73.893,64.358,62.451,66.072,27.087,21.573,5.51
24,SVK,Slovakia,2097,75.381,75.24,75.52,65.371,63.433,67.112,27.895,22.058,5.84
25,SVN,Slovenia,2429,79.279,79.052,79.493,68.275,66.084,70.238,31.151,24.453,6.7
26,ESP,Spain,3057,81.354,81.163,81.526,70.92,68.932,72.684,33.074,26.592,6.48
27,SWE,Sweden,3760,81.394,81.269,81.515,69.64,67.403,71.737,32.804,25.721,7.08
28,GBR,United Kingdom,3433,79.906,79.858,79.956,68.624,66.353,70.536,31.824,25.162,6.66
